商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー,,,,,,,,,,,
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,display_name_ruby,expansion,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error,,,,,,,,,,,
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128323,290910,アローラ ナッシーex,,SV-P,183/SV-P,PROMO,シールド戦 楽園ドラゴーナ,SV-P 183/SV-P アローラナッシーex小文字 アローラナッシーex あろーらなっしーex,,0,ポケモン,カード,880,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/046310_P_ARORANASSHIEX.jpg,,,,,,,,,,False,アローラナッシーex,183svp,アローラナッシーex,183svp,アローラナッシーex,183svp
1128449,290850,ゼイユ,,SV-P,171/SV-P,PROMO,新弾バトル2024年7月,SV-P 171/SV-P ゼイユ ぜいゆ,,500,ポケモン,カード,880,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/046132_T_ZEIYU.jpg,,,,,,,,,,False,ゼイユ,171svp,ゼイユ,171svp,ゼイユ,171svp
1128474,290800,ナンジャモ,,SV-P,161/SV-P,PROMO,プロモカードパック第6弾,SV-P 161/SV-P ナンジャモ なんじゃも,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/045800_T_NANJIXYAMO.jpg,,,,,,,,,,False,ナンジャモ,161svp,ナンジャモ,161svp,ナンジャモ,161svp
1128520,290730,マツバの確信,,SV-P,147/SV-P,PROMO,新弾バトル2024年4月,SV-P 147/SV-P マツバノカクシン まつばのかくしん,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/045793_T_MATSUBANOKAKUSHIN.jpg,,,,,,,,,,False,マツバの確信,147svp,マツバの確信,147svp,マツバの確信,147svp
1128522,290725,ワザマシン エヴォリューション,,SV-P,146/SV-P,PROMO,オーガナイザープロモカード,SV-P 146/SV-P ワザマシンエヴォリューション わざましんえヴぉりゅーしょん,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/045413_T_WAZAMASHINEVUORIXYUSHIXYON.jpg,,,,,,,,,,False,ワザマシンエヴォリューション,146svp,ワザマシンエヴォリューション,146svp,ワザマシンエヴォリューション,146svp
1128541,290705,ダブルドラゴンエネルギー,,SV-P,142/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 142/SV-P ダブルドラゴンエネルギー だぶるどらごんえねるぎー,,0,ポケモン,カード,680,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044851_E_DABURUDORAGONENERUGI.jpg,,,,,,,,,,False,ダブルドラゴンエネルギー,142svp,ダブルドラゴンエネルギー,142svp,ダブルドラゴンエネルギー,142svp
1128547,290700,スカイフィールド,,SV-P,141/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 141/SV-P スカイフィールド すかいふぃーるど,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044850_T_SUKAIFUIRUDO.jpg,,,,,,,,,,False,スカイフィールド,141svp,スカイフィールド,141svp,スカイフィールド,141svp
1128550,290695,サイレントラボ,,SV-P,140/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 140/SV-P サイレントラボ さいれんとらぼ,,0,ポケモン,カード,280,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044849_T_SAIRENTORABO.jpg,,,,,,,,,,False,サイレントラボ,140svp,サイレントラボ,140svp,サイレントラボ,140svp
1128553,290690,ミツル,,SV-P,139/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 139/SV-P ミツル みつる,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044848_T_MITSURU.jpg,,,,,,,,,,False,ミツル,139svp,ミツル,139svp,ミツル,139svp
1128558,290685,かるいし,,SV-P,138/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 138/SV-P カルイシ かるいし,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044847_T_KARUISHI.jpg,,,,,,,,,,False,かるいし,138svp,かるいし,138svp,かるいし,138svp
1128561,290680,バトルサーチャー,,SV-P,137/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 137/SV-P バトルサーチャー ばとるさーちゃー,,0,ポケモン,カード,580,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044846_T_BATORUSACHIXYA.jpg,,,,,,,,,,False,バトルサーチャー,137svp,バトルサーチャー,137svp,バトルサーチャー,137svp
1128564,290675,バトルコンプレッサー フレア団ギア,,SV-P,136/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 136/SV-P バトルコンプレッサーフレアダンギア ばとるこんぷれっさーふれあだんぎあ,,0,ポケモン,カード,1080,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044845_T_BATORUKONPURESSA.jpg,,,,,,,,,,False,バトルコンプレッサーフレア団ギア,136svp,バトルコンプレッサーフレア団ギア,136svp,バトルコンプレッサーフレア団ギア,136svp
1128568,290670,トレーナーズポスト,,SV-P,135/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 135/SV-P トレーナーズポスト とれーなーずぽすと,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044844_T_TORENAZUPOSUTO.jpg,,,,,,,,,,False,トレーナーズポスト,135svp,トレーナーズポスト,135svp,トレーナーズポスト,135svp
1128573,290665,カイリューEX,,SV-P,134/SV-P,PROMO,エクストラバトルの日 プロモカードパック,SV-P 134/SV-P カイリューEX大文字 カイリューEX かいりゅーEX,,0,ポケモン,カード,780,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044843_P_KAIRIXYUEX.jpg,,,,,,,,,,False,カイリューex,134svp,カイリューex,134svp,カイリューex,134svp
1128629,290595,ピカチュウ,,SV-P,120/SV-P,PROMO,ジムイベントに参加して、ピカチュウ をもらおう,SV-P 120/SV-P ピカチュウ ぴかちゅう,,0,ポケモン,カード,100,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044225_P_PIKACHIXYUU.jpg,,,,,,,,,,False,ピカチュウ,120svp,ピカチュウ,120svp,ピカチュウ,120svp
1128665,290540,まけんきハチマキ,,SV-P,109/SV-P,PROMO,チャンピオンズリーグ2024 勝利賞②,SV-P 109/SV-P マケンキハチマキ まけんきはちまき,,0,ポケモン,カード,10800,6000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044236_T_MAKENKIHACHIMAKI.jpg,,,,,,,,,,False,まけんきハチマキ,109svp,まけんきハチマキ,109svp,まけんきハチマキ,109svp
1128666,290535,サンダーex,,SV-P,108/SV-P,PROMO,チャンピオンズリーグ2024 勝利賞①,SV-P 108/SV-P サンダーex小文字 サンダーex さんだーex,,0,ポケモン,カード,3380,3000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044235_P_SANDAEX.jpg,,,,,,,,,,False,サンダーex,108svp,サンダーex,108svp,サンダーex,108svp
1128680,290490,コレクレー,,SV-P,099/SV-P,PROMO,チャンピオンズリーグ2024 大会参加賞,SV-P 099/SV-P コレクレー これくれー,,0,ポケモン,カード,100,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044226_P_KOREKURE.jpg,,,,,,,,,,False,コレクレー,099svp,コレクレー,099svp,コレクレー,099svp
1128681,290485,名探偵ピカチュウ,,SV-P,098/SV-P,PROMO,パッケージ版『帰ってきた 名探偵ピカチュウ』早期購入特典,SV-P 098/SV-P メイタンテイピカチュウ めいたんていぴかちゅう,,0,ポケモン,カード,57800,13000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044245_P_MEITANTEIPIKACHIXYUU.jpg,,,,,,,,,,False,名探偵ピカチュウ,098svp,名探偵ピカチュウ,098svp,名探偵ピカチュウ,098svp
1128690,290440,スコヴィランex,,SV-P,089/SV-P,PROMO,プロモカードパック 第3弾,SV-P 089/SV-P スコヴィランex小文字 スコヴィランex すこヴぃらんex,,0,ポケモン,カード,280,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044027_P_SUKOVUIRANEX.jpg,,,,,,,,,,False,スコヴィランex,089svp,スコヴィランex,089svp,スコヴィランex,089svp
1128693,290425,基本鋼エネルギー,,SV-P,086/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 086/SV-P 基本エネルギー キホンハガネエネルギー きほんはがねえねるぎー,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044224_E_KIHONHAGANEENERUGI.jpg,,,,,,,,,,False,基本鋼エネルギー,086svp,基本鋼エネルギー,086svp,基本鋼エネルギー,086svp
1128694,290420,基本悪エネルギー,,SV-P,085/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 085/SV-P 基本エネルギー キホンアクエネルギー きほんあくえねるぎー,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044223_E_KIHONAKUENERUGI.jpg,,,,,,,,,,False,基本悪エネルギー,085svp,基本悪エネルギー,085svp,基本悪エネルギー,085svp
1128695,290415,基本闘エネルギー,,SV-P,084/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 084/SV-P 基本エネルギー キホントウエネルギー きほんとうえねるぎー,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044222_E_KIHONTOUENERUGI.jpg,,,,,,,,,,False,基本闘エネルギー,084svp,基本闘エネルギー,084svp,基本闘エネルギー,084svp
1128696,290410,基本超エネルギー,,SV-P,083/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 083/SV-P 基本エネルギー キホンチョウエネルギー きほんちょうえねるぎー,,0,ポケモン,カード,380,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044221_E_KIHONCHIXYOUENERUGI.jpg,,,,,,,,,,False,基本超エネルギー,083svp,基本超エネルギー,083svp,基本超エネルギー,083svp
1128697,290405,基本雷エネルギー,,SV-P,082/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 082/SV-P 基本エネルギー キホンカミナリエネルギー きほんかみなりえねるぎー,,0,ポケモン,カード,480,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044220_E_KIHONKAMINARIENERUGI.jpg,,,,,,,,,,False,基本雷エネルギー,082svp,基本雷エネルギー,082svp,基本雷エネルギー,082svp
1128698,290400,基本水エネルギー,,SV-P,081/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 081/SV-P 基本エネルギー キホンミズエネルギー きほんみずえねるぎー,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044219_E_KIHONMIZUENERUGI.jpg,,,,,,,,,,False,基本水エネルギー,081svp,基本水エネルギー,081svp,基本水エネルギー,081svp
1128699,290395,基本炎エネルギー,,SV-P,080/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 080/SV-P 基本エネルギー キホンホノオエネルギー きほんほのおえねるぎー,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044218_E_KIHONHONOOENERUGI.jpg,,,,,,,,,,False,基本炎エネルギー,080svp,基本炎エネルギー,080svp,基本炎エネルギー,080svp
1128703,290390,基本草エネルギー,,SV-P,079/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 079/SV-P 基本エネルギー キホンクサエネルギー きほんくさえねるぎー,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044217_E_KIHONKUSAENERUGI.jpg,,,,,,,,,,False,基本草エネルギー,079svp,基本草エネルギー,079svp,基本草エネルギー,079svp
1128707,290385,メルタン,,SV-P,078/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 078/SV-P メルタン めるたん,,0,ポケモン,カード,680,200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044216_P_MERUTAN.jpg,,,,,,,,,,False,メルタン,078svp,メルタン,078svp,メルタン,078svp
1128709,290380,デルビル,,SV-P,077/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 077/SV-P デルビル でるびる,,0,ポケモン,カード,680,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044215_P_DERUBIRU.jpg,,,,,,,,,,False,デルビル,077svp,デルビル,077svp,デルビル,077svp
1128710,290375,リオル,,SV-P,076/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 076/SV-P リオル りおる,,0,ポケモン,カード,880,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044214_P_RIORU.jpg,,,,,,,,,,False,リオル,076svp,リオル,076svp,リオル,076svp
1128712,290370,ピッピ,,SV-P,075/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 075/SV-P ピッピ ぴっぴ,,0,ポケモン,カード,980,700,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044213_P_PIPPI.jpg,,,,,,,,,,False,ピッピ,075svp,ピッピ,075svp,ピッピ,075svp
1128716,290365,ピカチュウ,,SV-P,074/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 074/SV-P ピカチュウ ぴかちゅう,,0,ポケモン,カード,2180,2200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044212_P_PIKACHIXYUU.jpg,,,,,,,,,,False,ピカチュウ,074svp,ピカチュウ,074svp,ピカチュウ,074svp
1128717,290360,ケロマツ,,SV-P,073/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 073/SV-P ケロマツ けろまつ,,0,ポケモン,カード,1380,1300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044211_P_KEROMATSU.jpg,,,,,,,,,,False,ケロマツ,073svp,ケロマツ,073svp,ケロマツ,073svp
1128719,290355,カルボウ,,SV-P,072/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 072/SV-P カルボウ かるぼう,,0,ポケモン,カード,780,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044210_P_KARUBOU.jpg,,,,,,,,,,False,カルボウ,072svp,カルボウ,072svp,カルボウ,072svp
1128781,290350,モクロー,,SV-P,071/SV-P,PROMO,NAKANO STYLING TANTO × ポケモンカードゲーム,SV-P 071/SV-P モクロー もくろー,,0,ポケモン,カード,1080,1200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044209_P_MOKURO.jpg,,,,,,,,,,False,モクロー,071svp,モクロー,071svp,モクロー,071svp
1128816,290295,ヒトカゲ,,SV-P,060/SV-P,PROMO,ポケモンカード151 カードファイルセット,SV-P 060/SV-P ヒトカゲ ひとかげ,,0,ポケモン,カード,180,1200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043701_P_HITOKAGE.jpg,,,,,,,,,,False,ヒトカゲ,060svp,ヒトカゲ,060svp,ヒトカゲ,060svp
1128829,290280,ボタン,,SV-P,057/SV-P,PROMO,新弾バトル2023年4月,SV-P 057/SV-P ボタン ぼたん,,0,ポケモン,カード,780,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043313_T_BOTAN.jpg,,,,,,,,,,False,ボタン,057svp,ボタン,057svp,ボタン,057svp
1128895,290175,カルボウ,,SV-P,036/SV-P,PROMO,チャンピオンズリーグ2023 大会参加賞,SV-P 036/SV-P カルボウ かるぼう,,0,ポケモン,カード,280,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/042952_P_KARUBOU.jpg,,,,,,,,,,False,カルボウ,036svp,カルボウ,036svp,カルボウ,036svp
1128896,290170,パモ,,SV-P,035/SV-P,PROMO,コロコロイチバン! 2023年4月号,SV-P 035/SV-P パモ ぱも,,0,ポケモン,カード,780,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043128_P_PAMO.jpg,,,,,,,,,,False,パモ,035svp,パモ,035svp,パモ,035svp
1128898,290160,イーブイ,,SV-P,033/SV-P,PROMO,ポケモンカードゲーム教室 2023,SV-P 033/SV-P イーブイ いーぶい,,0,ポケモン,カード,5480,6000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/042965_P_IBUI.jpg,,,,,,,,,,False,イーブイ,033svp,イーブイ,033svp,イーブイ,033svp
1128899,290155,イーブイ,,SV-P,032/SV-P,PROMO,ポケモンセンター ポケカでカジュアルバトル! 2023,SV-P 032/SV-P イーブイ いーぶい,,0,ポケモン,カード,1080,1300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/044246_P_IBUI.jpg,,,,,,,,,,False,イーブイ,032svp,イーブイ,032svp,イーブイ,032svp
1128900,290150,イーブイ,,SV-P,031/SV-P,PROMO,デッキそのままバトル イーブイゲットだぜ 2023,SV-P 031/SV-P イーブイ いーぶい,,0,ポケモン,カード,180,250,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/042964_P_IBUI.jpg,,,,,,,,,,False,イーブイ,031svp,イーブイ,031svp,イーブイ,031svp
1128901,290145,ペパー,,SV-P,030/SV-P,PROMO,新弾バトル2023年1月,SV-P 030/SV-P ペパー ぺぱー,,0,ポケモン,カード,1580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/042921_T_PEPA.jpg,,,,,,,,,,False,ペパー,030svp,ペパー,030svp,ペパー,030svp
1128912,290090,げんきのハチマキ,,SV-P,019/SV-P,PROMO,ポケモンカードゲーム公認自主イベント トレーナーズパック,SV-P 019/SV-P ゲンキノハチマキ げんきのはちまき,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043123_T_GENKINOHACHIMAKI.jpg,,,,,,,,,,False,げんきのハチマキ,019svp,げんきのハチマキ,019svp,げんきのハチマキ,019svp
1128913,290085,学習装置,,SV-P,018/SV-P,PROMO,ポケモンカードゲーム公認自主イベント トレーナーズパック,SV-P 018/SV-P ガクシュウソウチ がくしゅうそうち,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/043122_T_GAKUSHIXYUUSOUCHI.jpg,,,,,,,,,,False,学習装置,018svp,学習装置,018svp,学習装置,018svp
1128970,290000,ピカチュウ,,SV-P,001/SV-P,PROMO,『スカーレット』『バイオレット』パッケージ版 早期購入特典,SV-P 001/SV-P ピカチュウ ぴかちゅう,,0,ポケモン,カード,1580,2300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV-P/042261_P_PIKACHIXYUU.jpg,,,,,,,,,,False,ピカチュウ,001svp,ピカチュウ,001svp,ピカチュウ,001svp
1129123,285925,アルセウスVSTAR,,s12a,262/172,UR,VSTARユニバース,s12a 262/172 アルセウスVSTAR あるせうすVSTAR,,0,ポケモン,カード,8480,11000,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/044944_P_ARUSEUSUVSTAR.jpg,,,,,,,,,,False,アルセウスvstar,262172,アルセウスvstar,262172,アルセウスvstar,262172
1129125,285920,ギラティナVSTAR,,s12a,261/172,UR,VSTARユニバース,s12a 261/172 ギラティナVSTAR ぎらてぃなVSTAR,,0,ポケモン,カード,13800,19000,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/044943_P_GIRATEINAVSTAR.jpg,,,,,,,,,,False,ギラティナvstar,261172,ギラティナvstar,261172,ギラティナvstar,261172
1129128,285915,オリジン ディアルガVSTAR,,s12a,260/172,UR,VSTARユニバース,s12a 260/172 オリジンディアルガVSTAR おりじんでぃあるがVSTAR,,0,ポケモン,カード,5480,6300,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/044942_P_ORIJINDEIARUGAVSTAR.jpg,,,,,,,,,,False,オリジンディアルガvstar,260172,オリジンディアルガvstar,260172,オリジンディアルガvstar,260172
1129131,285910,オリジンパルキアVSTAR,,s12a,259/172,UR,VSTARユニバース,s12a 259/172 オリジンパルキアVSTAR おりじんぱるきあVSTAR,,0,ポケモン,カード,4180,7700,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/044941_P_ORIJINPARUKIAVSTAR.jpg,,,,,,,,,,False,オリジンパルキアvstar,259172,オリジンパルキアvstar,259172,オリジンパルキアvstar,259172
1129154,285865,ボスの指令（アカギ）,,s12a,250/172,SR,VSTARユニバース,s12a 250/172 ボスの指令 ボスノシレイアカギ ぼすのしれいあかぎ,,0,ポケモン,カード,980,800,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042900_T_BOSUNOSHIREIAKAGI.jpg,,,,,,,,,,False,ボスの指令アカギ,250172,ボスの指令アカギ,250172,ボスの指令アカギ,250172
1129155,285860,ヒスイの仲間たち,,s12a,249/172,SR,VSTARユニバース,s12a 249/172 ヒスイノナカマタチ ひすいのなかまたち,,0,ポケモン,カード,680,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042899_T_HISUINONAKAMATACHI.jpg,,,,,,,,,,False,ヒスイの仲間たち,249172,ヒスイの仲間たち,249172,ヒスイの仲間たち,249172
1129156,285855,博士の研究（ナナカマド博士）,,s12a,248/172,SR,VSTARユニバース,s12a 248/172 博士の研究 ハカセノケンキュウナナカマドハカセ はかせのけんきゅうななかまどはかせ,,0,ポケモン,カード,580,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042898_T_HAKASENOKENKIXYUUNANAKAMADOHAKASE.jpg,,,,,,,,,,False,博士の研究ナナカマド博士,248172,博士の研究ナナカマド博士,248172,博士の研究ナナカマド博士,248172
1129160,285850,シンオウの仲間たち,,s12a,247/172,SR,VSTARユニバース,s12a 247/172 シンオウノナカマタチ しんおうのなかまたち,,0,ポケモン,カード,1080,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042897_T_SHINOUNONAKAMATACHI.jpg,,,,,,,,,,False,シンオウの仲間たち,247172,シンオウの仲間たち,247172,シンオウの仲間たち,247172
1129163,285845,カミツレのきらめき,,s12a,246/172,SR,VSTARユニバース,s12a 246/172 カミツレノキラメキ かみつれのきらめき,,0,ポケモン,カード,3680,3300,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042896_T_KAMITSURENOKIRAMEKI.jpg,,,,,,,,,,False,カミツレのきらめき,246172,カミツレのきらめき,246172,カミツレのきらめき,246172
1129164,285840,ウォロ,,s12a,245/172,SR,VSTARユニバース,s12a 245/172 ウォロ うぉろ,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042895_T_UORO.jpg,,,,,,,,,,False,ウォロ,245172,ウォロ,245172,ウォロ,245172
1129167,285835,メロン,,s12a,244/172,SAR,VSTARユニバース,s12a 244/172 メロン めろん,,0,ポケモン,カード,1080,700,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042894_T_MERON.jpg,,,,,,,,,,False,メロン,244172,メロン,244172,メロン,244172
1129171,285830,ナタネの活気,,s12a,243/172,SAR,VSTARユニバース,s12a 243/172 ナタネノカッキ なたねのかっき,,0,ポケモン,カード,980,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042893_T_NATANENOKAKKI.jpg,,,,,,,,,,False,ナタネの活気,243172,ナタネの活気,243172,ナタネの活気,243172
1129172,285825,ツツジ,,s12a,242/172,SAR,VSTARユニバース,s12a 242/172 ツツジ つつじ,,0,ポケモン,カード,880,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042892_T_TSUTSUJI.jpg,,,,,,,,,,False,ツツジ,242172,ツツジ,242172,ツツジ,242172
1129175,285820,チェレンの気くばり,,s12a,241/172,SAR,VSTARユニバース,s12a 241/172 チェレンノキクバリ ちぇれんのきくばり,,0,ポケモン,カード,380,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042891_T_CHIERENNOKIKUBARI.jpg,,,,,,,,,,False,チェレンの気くばり,241172,チェレンの気くばり,241172,チェレンの気くばり,241172
1129179,285815,セキ,,s12a,240/172,SAR,VSTARユニバース,s12a 240/172 セキ せき,,0,ポケモン,カード,1080,700,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042890_T_SEKI.jpg,,,,,,,,,,False,セキ,240172,セキ,240172,セキ,240172
1129180,285810,シロナの覇気,,s12a,239/172,SAR,VSTARユニバース,s12a 239/172 シロナノハキ しろなのはき,,0,ポケモン,カード,3080,4200,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042889_T_SHIRONANOHAKI.jpg,,,,,,,,,,False,シロナの覇気,239172,シロナの覇気,239172,シロナの覇気,239172
1129181,285805,ザクロ,,s12a,238/172,SAR,VSTARユニバース,s12a 238/172 ザクロ ざくろ,,0,ポケモン,カード,680,200,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042888_T_ZAKURO.jpg,,,,,,,,,,False,ザクロ,238172,ザクロ,238172,ザクロ,238172
1129184,285800,キバナ,,s12a,237/172,SAR,VSTARユニバース,s12a 237/172 キバナ きばな,,0,ポケモン,カード,980,1100,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042887_T_KIBANA.jpg,,,,,,,,,,False,キバナ,237172,キバナ,237172,キバナ,237172
1129188,285795,カイ,,s12a,236/172,SAR,VSTARユニバース,s12a 236/172 カイ かい,,0,ポケモン,カード,4180,3700,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042886_T_KAI.jpg,,,,,,,,,,False,カイ,236172,カイ,236172,カイ,236172
1129189,285790,アクロマの実験,,s12a,235/172,SAR,VSTARユニバース,s12a 235/172 アクロマノジッケン あくろまのじっけん,,0,ポケモン,カード,680,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042885_T_AKUROMANOJIKKEN.jpg,,,,,,,,,,False,アクロマの実験,235172,アクロマの実験,235172,アクロマの実験,235172
1129190,285785,ヒスイ ゾロアークVSTAR,,s12a,234/172,SAR,VSTARユニバース,s12a 234/172 ヒスイゾロアークVSTAR ひすいぞろあーくVSTAR,,0,ポケモン,カード,2380,2500,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042884_P_HISUIZOROAKUVSTAR.jpg,,,,,,,,,,False,ヒスイゾロアークvstar,234172,ヒスイゾロアークvstar,234172,ヒスイゾロアークvstar,234172
1129194,285780,レジギガスVSTAR,,s12a,233/172,SAR,VSTARユニバース,s12a 233/172 レジギガスVSTAR れじぎがすVSTAR,,0,ポケモン,カード,580,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042883_P_REJIGIGASUVSTAR.jpg,,,,,,,,,,False,レジギガスvstar,233172,レジギガスvstar,233172,レジギガスvstar,233172
1129197,285775,ザマゼンタV,,s12a,232/172,SAR,VSTARユニバース,s12a 232/172 ザマゼンタV ざまぜんたV,,0,ポケモン,カード,1480,700,☐,https://www.pokemon-card.com/assets/images/card_images/large/S12a/042882_P_ZAMAZENTAV.jpg,,,,,,,,,,False,ザマゼンタv,232172,ザマゼンタv,232172,ザマゼンタv,232172
