商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー,,,,,,,,,,,
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,display_name_ruby,expansion,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error,,,,,,,,,,,
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112817,357340,ロケット団のアテナ,,sv10,128/098,SAR,ロケット団の栄光,sv10 128/098 ロケットダンノアテナ ろけっとだんのあてな,,0,ポケモン,カード,2580,800,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047532_T_ROKETTODANNOATENA.jpg,,,,,,,,,,False,ロケット団のアテナ,128098,ロケット団のアテナ,128098,ロケット団のアテナ,128098
1112821,357335,ロケット団のクロバットex,,sv10,127/098,SAR,ロケット団の栄光,sv10 127/098 ロケット団のクロバットex ロケットダンノクロバット ろけっとだんのくろばっと,,0,ポケモン,カード,6780,4800,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047531_P_ROKETTODANNOKUROBATTOEX.jpg,,,,,,,,,,False,ロケット団のクロバットex,127098,ロケット団のクロバットex,127098,ロケット団のクロバットex,127098
1112825,357330,ロケット団のニドキングex,,sv10,126/098,SAR,ロケット団の栄光,sv10 126/098 ロケット団のニドキングex ロケットダンノニドキングex ろけっとだんのにどきんぐ,,0,ポケモン,カード,7980,6500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047530_P_ROKETTODANNONIDOKINGUEX.jpg,,,,,,,,,,False,ロケット団のニドキングex,126098,ロケット団のニドキングex,126098,ロケット団のニドキングex,126098
1112827,357325,ロケット団のミュウツーex,,sv10,125/098,SAR,ロケット団の栄光,sv10 125/098 ロケット団のミュウツーex ロケットダンノミュウツー ろけっとだんのみゅうつーex,,0,ポケモン,カード,34800,43000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047529_P_ROKETTODANNOMIXYUUTSUEX.jpg,,,,,,,,,,False,ロケット団のミュウツーex,125098,ロケット団のミュウツーex,125098,ロケット団のミュウツーex,125098
1112831,357320,ロケット団のファイヤーex,,sv10,124/098,SAR,ロケット団の栄光,sv10 124/098 ロケット団のファイヤーex ロケットダンノファイヤー ろけっとだんのふぁいやー,,0,ポケモン,カード,13800,11000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047528_P_ROKETTODANNOFUAIYAEX.jpg,,,,,,,,,,False,ロケット団のファイヤーex,124098,ロケット団のファイヤーex,124098,ロケット団のファイヤーex,124098
1112835,357315,ロケット団のランス,,sv10,123/098,SR,ロケット団の栄光,sv10 123/098 ロケットダンノランス ろけっとだんのらんす,,0,ポケモン,カード,880,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047527_T_ROKETTODANNORANSU.jpg,,,,,,,,,,False,ロケット団のランス,123098,ロケット団のランス,123098,ロケット団のランス,123098
1112839,357310,ロケット団のラムダ,,sv10,122/098,SR,ロケット団の栄光,sv10 122/098 ロケットダンノラムダ ろけっとだんのらむだ,,0,ポケモン,カード,1680,200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047526_T_ROKETTODANNORAMUDA.jpg,,,,,,,,,,False,ロケット団のラムダ,122098,ロケット団のラムダ,122098,ロケット団のラムダ,122098
1112843,357305,ロケット団のサカキ,,sv10,121/098,SR,ロケット団の栄光,sv10 121/098 ロケットダンノサカキ ろけっとだんのさかき,,0,ポケモン,カード,1380,200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047525_T_ROKETTODANNOSAKAKI.jpg,,,,,,,,,,False,ロケット団のサカキ,121098,ロケット団のサカキ,121098,ロケット団のサカキ,121098
1112846,357300,ロケット団のアポロ,,sv10,120/098,SR,ロケット団の栄光,sv10 120/098 ロケットダンノアポロ ろけっとだんのあぽろ,,0,ポケモン,カード,680,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047524_T_ROKETTODANNOAPORO.jpg,,,,,,,,,,False,ロケット団のアポロ,120098,ロケット団のアポロ,120098,ロケット団のアポロ,120098
1112848,357295,ロケット団のアテナ,,sv10,119/098,SR,ロケット団の栄光,sv10 119/098 ロケットダンノアテナ ろけっとだんのあてな,,0,ポケモン,カード,880,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047523_T_ROKETTODANNOATENA.jpg,,,,,,,,,,False,ロケット団のアテナ,119098,ロケット団のアテナ,119098,ロケット団のアテナ,119098
1112850,357290,ロケット団のペルシアンex,,sv10,118/098,SR,ロケット団の栄光,sv10 118/098 ロケット団のペルシアンex ロケットダンノペルシアン ろけっとだんのぺるしあんex,,0,ポケモン,カード,880,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047522_P_ROKETTODANNOPERUSHIANEX.jpg,,,,,,,,,,False,ロケット団のペルシアンex,118098,ロケット団のペルシアンex,118098,ロケット団のペルシアンex,118098
1112858,357285,ロケット団のクロバットex,,sv10,117/098,SR,ロケット団の栄光,sv10 117/098 ロケット団のクロバットex ロケットダンノクロバット ろけっとだんのくろばっと,,0,ポケモン,カード,880,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047521_P_ROKETTODANNOKUROBATTOEX.jpg,,,,,,,,,,False,ロケット団のクロバットex,117098,ロケット団のクロバットex,117098,ロケット団のクロバットex,117098
1112860,357280,ロケット団のニドキングex,,sv10,116/098,SR,ロケット団の栄光,sv10 116/098 ロケット団のニドキングex ロケットダンノニドキングex ろけっとだんのにどきんぐ,,0,ポケモン,カード,980,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047520_P_ROKETTODANNONIDOKINGUEX.jpg,,,,,,,,,,False,ロケット団のニドキングex,116098,ロケット団のニドキングex,116098,ロケット団のニドキングex,116098
1112861,357275,レジロックex,,sv10,115/098,SR,ロケット団の栄光,sv10 115/098 レジロックex小文字 レジロックex れじろっくex,,0,ポケモン,カード,480,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047519_P_REJIROKKUEX.jpg,,,,,,,,,,False,レジロックex,115098,レジロックex,115098,レジロックex,115098
1112866,357270,ロケット団のミュウツーex,,sv10,114/098,SR,ロケット団の栄光,sv10 114/098 ロケット団のミュウツーex ロケットダンノミュウツー ろけっとだんのみゅうつーex,,0,ポケモン,カード,3280,1900,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047518_P_ROKETTODANNOMIXYUUTSUEX.jpg,,,,,,,,,,False,ロケット団のミュウツーex,114098,ロケット団のミュウツーex,114098,ロケット団のミュウツーex,114098
1112869,357265,ハルクジラex,,sv10,113/098,SR,ロケット団の栄光,sv10 113/098 ハルクジラex ハルクジラex はるくじら,,0,ポケモン,カード,380,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047517_P_HARUKUJIRAEX.jpg,,,,,,,,,,False,ハルクジラex,113098,ハルクジラex,113098,ハルクジラex,113098
1112871,357260,ロケット団のファイヤーex,,sv10,112/098,SR,ロケット団の栄光,sv10 112/098 ロケット団のファイヤーex ロケットダンノファイヤー ろけっとだんのふぁいやー,,0,ポケモン,カード,1180,200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047516_P_ROKETTODANNOFUAIYAEX.jpg,,,,,,,,,,False,ロケット団のファイヤーex,112098,ロケット団のファイヤーex,112098,ロケット団のファイヤーex,112098
1112876,357255,オリーヴァex,,sv10,111/098,SR,ロケット団の栄光,sv10 111/098 オリーヴァex オリーヴァex オリーヴァ,,0,ポケモン,カード,480,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047515_P_ORIVUAEX.jpg,,,,,,,,,,False,オリーヴァex,111098,オリーヴァex,111098,オリーヴァex,111098
1112880,357250,ガルーラ,,sv10,110/098,AR,ロケット団の栄光,sv10 110/098 ガルーラ がるーら,,0,ポケモン,カード,480,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047514_P_GARURA.jpg,,,,,,,,,,False,ガルーラ,110098,ガルーラ,110098,ガルーラ,110098
1112882,357245,ロケット団のニャース,,sv10,109/098,AR,ロケット団の栄光,sv10 109/098 ロケットダンノニャース ろけっとだんのにゃーす,,0,ポケモン,カード,1080,1200,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047513_P_ROKETTODANNONIXYASU.jpg,,,,,,,,,,False,ロケット団のニャース,109098,ロケット団のニャース,109098,ロケット団のニャース,109098
1112884,357240,ロケット団のラッタ,,sv10,108/098,AR,ロケット団の栄光,sv10 108/098 ロケットダンノラッタ ろけっとだんのらった,,0,ポケモン,カード,280,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047512_P_ROKETTODANNORATTA.jpg,,,,,,,,,,False,ロケット団のラッタ,108098,ロケット団のラッタ,108098,ロケット団のラッタ,108098
1112889,357235,ザマゼンタ,,sv10,107/098,AR,ロケット団の栄光,sv10 107/098 ザマゼンタ ざまぜんた,,0,ポケモン,カード,280,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047511_P_ZAMAZENTA.jpg,,,,,,,,,,False,ザマゼンタ,107098,ザマゼンタ,107098,ザマゼンタ,107098
1112893,357230,ロケット団のヤミカラス,,sv10,106/098,AR,ロケット団の栄光,sv10 106/098 ロケットダンノヤミカラス ろけっとだんのやみからす,,0,ポケモン,カード,380,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047510_P_ROKETTODANNOYAMIKARASU.jpg,,,,,,,,,,False,ロケット団のヤミカラス,106098,ロケット団のヤミカラス,106098,ロケット団のヤミカラス,106098
1112895,357225,ロケット団のマタドガス,,sv10,105/098,AR,ロケット団の栄光,sv10 105/098 ロケットダンノマタドガス ろけっとだんのまたどがす,,0,ポケモン,カード,380,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047509_P_ROKETTODANNOMATADOGASU.jpg,,,,,,,,,,False,ロケット団のマタドガス,105098,ロケット団のマタドガス,105098,ロケット団のマタドガス,105098
1112897,357220,ロケット団のイオルブ,,sv10,104/098,AR,ロケット団の栄光,sv10 104/098 ロケットダンノイオルブ ろけっとだんのいおるぶ,,0,ポケモン,カード,280,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047508_P_ROKETTODANNOIORUBU.jpg,,,,,,,,,,False,ロケット団のイオルブ,104098,ロケット団のイオルブ,104098,ロケット団のイオルブ,104098
1112899,357215,ロケット団のソーナンス,,sv10,103/098,AR,ロケット団の栄光,sv10 103/098 ロケットダンノソーナンス ろけっとだんのそーなんす,,0,ポケモン,カード,380,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047507_P_ROKETTODANNOSONANSU.jpg,,,,,,,,,,False,ロケット団のソーナンス,103098,ロケット団のソーナンス,103098,ロケット団のソーナンス,103098
1112903,357205,バシャーモ,,sv10,101/098,AR,ロケット団の栄光,sv10 101/098 バシャーモ ばしゃーも,,0,ポケモン,カード,380,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047505_P_BASHIXYAMO.jpg,,,,,,,,,,False,バシャーモ,101098,バシャーモ,101098,バシャーモ,101098
1112905,357200,ロケット団のヘルガー,,sv10,100/098,AR,ロケット団の栄光,sv10 100/098 ロケットダンノヘルガー ろけっとだんのへるがー,,0,ポケモン,カード,780,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047504_P_ROKETTODANNOHERUGA.jpg,,,,,,,,,,False,ロケット団のヘルガー,100098,ロケット団のヘルガー,100098,ロケット団のヘルガー,100098
1112906,357195,ロケット団のワナイダー,,sv10,099/098,AR,ロケット団の栄光,sv10 099/098 ロケットダンノワナイダー ろけっとだんのわないだー,,0,ポケモン,カード,380,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV10/047503_P_ROKETTODANNOWANAIDA.jpg,,,,,,,,,,False,ロケット団のワナイダー,099098,ロケット団のワナイダー,099098,ロケット団のワナイダー,099098
1113208,356455,ハッコウシティ,,sv9a,092/063,UR,熱風のアリーナ,sv9a 092/063 ハッコウシティ はっこうしてぃ,,0,ポケモン,カード,780,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047393_T_HAKKOUSHITEI.jpg,,,,,,,,,,False,ハッコウシティ,092063,ハッコウシティ,092063,ハッコウシティ,092063
1113212,356450,シロナのガブリアスex,,sv9a,091/063,UR,熱風のアリーナ,sv9a 091/063 ガブリアスex しろなのがぶりあすex,,0,ポケモン,カード,3080,4500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047392_P_SHIRONANOGABURIASUEX.jpg,,,,,,,,,,False,シロナのガブリアスex,091063,シロナのガブリアスex,091063,シロナのガブリアスex,091063
1113216,356445,ヒビキのホウオウex,,sv9a,090/063,UR,熱風のアリーナ,sv9a 090/063 ホウオウex ひびきのほうおう,,0,ポケモン,カード,2580,2000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047391_P_HIBIKINOHOUOUEX.jpg,,,,,,,,,,False,ヒビキのホウオウex,090063,ヒビキのホウオウex,090063,ヒビキのホウオウex,090063
1113217,356440,ヒビキの冒険,,sv9a,089/063,SAR,熱風のアリーナ,sv9a 089/063 ヒビキノボウケン ひびきのぼうけん,,0,ポケモン,カード,4980,5500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047390_T_HIBIKINOBOUKEN.jpg,,,,,,,,,,False,ヒビキの冒険,089063,ヒビキの冒険,089063,ヒビキの冒険,089063
1113218,356435,ペパーのマフィティフex,,sv9a,088/063,SAR,熱風のアリーナ,sv9a 088/063 ペパーのマフィティフex マフィティフ ぺぱーのまふぃてぃふ,,0,ポケモン,カード,1380,1700,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047389_P_PEPANOMAFUITEIFUEX.jpg,,,,,,,,,,False,ペパーのマフィティフex,088063,ペパーのマフィティフex,088063,ペパーのマフィティフex,088063
1113222,356430,シロナのガブリアスex,,sv9a,087/063,SAR,熱風のアリーナ,sv9a 087/063 ガブリアスex しろなのがぶりあすex,,0,ポケモン,カード,26800,25000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047388_P_SHIRONANOGABURIASUEX.jpg,,,,,,,,,,False,シロナのガブリアスex,087063,シロナのガブリアスex,087063,シロナのガブリアスex,087063
1113225,356425,ヒビキのホウオウex,,sv9a,086/063,SAR,熱風のアリーナ,sv9a 086/063 ホウオウex ひびきのほうおう,,0,ポケモン,カード,15800,19000,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047387_P_HIBIKINOHOUOUEX.jpg,,,,,,,,,,False,ヒビキのホウオウex,086063,ヒビキのホウオウex,086063,ヒビキのホウオウex,086063
1113226,356420,メガヤンマex,,sv9a,085/063,SAR,熱風のアリーナ,sv9a 085/063 メガヤンマex メガヤンマ めがやんま,,0,ポケモン,カード,1480,800,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047386_P_MYANMAEX.jpg,,,,,,,,,,False,メガヤンマex,085063,メガヤンマex,085063,メガヤンマex,085063
1113228,356415,ヒビキの冒険,,sv9a,084/063,SR,熱風のアリーナ,sv9a 084/063 ヒビキノボウケン ひびきのぼうけん,,0,ポケモン,カード,780,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047385_T_HIBIKINOBOUKEN.jpg,,,,,,,,,,False,ヒビキの冒険,084063,ヒビキの冒険,084063,ヒビキの冒険,084063
1113232,356410,ジャッジマン,,sv9a,083/063,SR,熱風のアリーナ,sv9a 083/063 ジャッジマン じゃっじまん,,0,ポケモン,カード,280,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047384_T_JIXYAJJIMAN.jpg,,,,,,,,,,False,ジャッジマン,083063,ジャッジマン,083063,ジャッジマン,083063
1113233,356405,MCの盛り上げ,,sv9a,082/063,SR,熱風のアリーナ,sv9a 082/063 エムシーノムリアゲ えむしーのもりあげ,,0,ポケモン,カード,1280,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047383_T_MCNOMORIAGE.jpg,,,,,,,,,,False,mcの盛り上げ,082063,mcの盛り上げ,082063,mcの盛り上げ,082063
1113235,356400,ペパーのマフィティフex,,sv9a,081/063,SR,熱風のアリーナ,sv9a 081/063 ペパーのマフィティフex マフィティフ ぺぱーのまふぃてぃふ,,0,ポケモン,カード,280,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047382_P_PEPANOMAFUITEIFUEX.jpg,,,,,,,,,,False,ペパーのマフィティフex,081063,ペパーのマフィティフex,081063,ペパーのマフィティフex,081063
1113237,356395,シロナのガブリアスex,,sv9a,080/063,SR,熱風のアリーナ,sv9a 080/063 ガブリアスex しろなのがぶりあすex,,0,ポケモン,カード,780,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047381_P_SHIRONANOGABURIASUEX.jpg,,,,,,,,,,False,シロナのガブリアスex,080063,シロナのガブリアスex,080063,シロナのガブリアスex,080063
1113240,356390,エレキブルex,,sv9a,079/063,SR,熱風のアリーナ,sv9a 079/063 エレキブルex エレキブル えれきぶる,,0,ポケモン,カード,380,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/SV9a/047380_P_EREKIBURUEX.jpg,,,,,,,,,,False,エレキブルex,079063,エレキブルex,079063,エレキブルex,079063
